id;autor;titulo;data_criacao;ativo;id_usuario_cadastro;proprietario
1;JSON Sapatos Marginal;approach;2022-08-11;12050;44597;bluetooth deposit
2;verde Manager motivating;monitoring Mercearia;2022-08-11;49581;32391;Virtual
3;Filmes Legacy Rand;Avon EXE;2022-08-11;74781;69022;Sapatos Home Beleza
4;Macio toolset;Bedfordshire benchmark SSL;2022-08-10;81555;99962;Account
5;Genérico Tactics;Fresco parse;2022-08-11;83457;54490;Managed
6;marrom;Producer port;2022-08-10;77494;74468;Account Configuration
7;marrom;programming;2022-08-11;15745;49018;Gana monitor Gostoso
8;azul redefine;Frango;2022-08-11;42295;24859;Alagoas
9;Group Investor Internal;payment primary;2022-08-11;7140;88208;relationships Avenida Queijo
10;Central Coordinator Goiás;empower bus;2022-08-11;26637;23093;Liaison Mouse
