id;id_usuario;id_livro;locacao;data_locacao;previsao_devolucao;data_devolucao;devolucao;status;proprietario
1;38701;99456;26476;2022-08-11;2022-08-10;2022-08-10;47733;Loan;Bedfordshire leverage
2;98614;90091;65863;2022-08-11;2022-08-11;2022-08-11;81594;Incrível;bricks-and-clicks
3;62526;64048;31070;2022-08-11;2022-08-10;2022-08-11;35294;Avon;Madeira
4;99201;12731;20611;2022-08-11;2022-08-10;2022-08-11;99495;wireless;District Acre
5;25107;42709;64366;2022-08-11;2022-08-11;2022-08-10;93552;improvement Bermuda Representative;application transitional
6;65710;72685;89192;2022-08-11;2022-08-11;2022-08-10;66495;Impressionante target;Fantástico
7;17948;78277;69593;2022-08-11;2022-08-11;2022-08-11;33694;Marginal;index deposit Madeira
8;8761;73197;51057;2022-08-10;2022-08-11;2022-08-10;20391;Madeira Enhanced;reboot Roupas
9;81647;13804;77418;2022-08-11;2022-08-10;2022-08-11;8768;sticky;driver Berkshire Grosso
10;7130;27464;82718;2022-08-11;2022-08-11;2022-08-11;37428;Espanha;Engineer
