id;id_usuario;id_livro;locacao;data_locacao;previsao_devolucao;data_devolucao;devolucao;status;proprietario
1;9083;20914;6941;2022-08-11;2022-08-10;2022-08-10;75718;e-business;reinvent Bebê Berkshire
2;45880;20093;85510;2022-08-10;2022-08-11;2022-08-10;77169;invoice;Assimilated Guernesey Ergonômico
3;18995;54216;16574;2022-08-11;2022-08-11;2022-08-11;54582;Granito;Atum
4;96942;45565;16414;2022-08-11;2022-08-10;2022-08-10;98988;evolve plug-and-play Future;HTTP
5;31637;1340;82846;2022-08-11;2022-08-10;2022-08-10;34916;Prático Eletrônicos withdrawal;navigate marca Rua
6;55456;60174;16979;2022-08-11;2022-08-10;2022-08-11;10696;jade streamline;Latvian
7;63455;13397;31070;2022-08-11;2022-08-10;2022-08-10;98911;Assurance dourado architect;Diverse payment
8;17503;59436;60030;2022-08-11;2022-08-10;2022-08-11;29945;composite;Reverse-engineered withdrawal
9;31497;11762;84224;2022-08-10;2022-08-11;2022-08-10;13024;Investment;Inteligente Lindo
10;34810;26795;64343;2022-08-11;2022-08-11;2022-08-11;89294;complexity;Berkshire à
